Lessee Registered,Tenant Name,Classification,Still Occupied?,Building Name,Property Address,Property Suburb,Cityscope Reference,Suite,Area*,Area from Lease?*,Level,Street Frontage,Extra Description,Expiry Date,Start Date,Options Exist?,Options Detail,Base $/sqm*,Note*,Base $/year*,BaseRentPerAnnumNote,Current $/sqm**,CurrentRentPerSqmNote,Current $/year**,CurrentRentPerAnnumNote,Review Date*,Lease Term*,Review Type*,CPI%*,Fixed%*,Revised $/sqm*,RevisedPricePerSqmNote,Revised $/year*,RevisedPricePerAnnumNote
VICTORIAN INSTITUTE OF TECHNOLOGY PTY LTD,Victorian Institute of Technology,Commercial,Yes,Science House,157 - 169 Gloucester Street,The Rocks,SY1A.10,,,,Ground to Level 3,,,2027-07-31,2022-08-01,Yes,5 YEARS,,,1096425,(a),,,1224456.18,(a),2023-08-01,Initial,Fixed,,0.0375,,,1137540.94,(a)
AIDACARE PTY LTD,Aidacare,Commercial,Yes,Science House,157 - 169 Gloucester Street,The Rocks,SY1A.10,Suite 404 & 405,,,Level 4,,,2027-06-30,2022-07-01,No,,,,43284.77,(a),,,48689.48,(a),2023-07-01,Initial,Fixed,,0.04,,,45016.16,(a)
MAINWAY MANAGEMENT PTY LTD,Mainway Project Management,Commercial,Yes,Science House,157 - 169 Gloucester Street,The Rocks,SY1A.10,Suite 509,,,Level 5,,,2028-04-30,2022-05-01,No,,,,37368,(a),,,37368,(a),,,,,,,,,
MAINWAY MANAGEMENT PTY LTD,Mainway Project Management,Commercial,Yes,Science House,157 - 169 Gloucester Street,The Rocks,SY1A.10,Suite 510,,,Level 5,,,2028-04-30,2022-05-01,No,,,,37368,(a),,,43715.28,(a),2023-05-01,Initial,Fixed,,0.04,,,38862.72,(a)
FREDON AIR (NSW) PTY LTD,,Commercial,No,Science House,157 - 169 Gloucester Street,The Rocks,SY1A.10,Suite 506,,,Level 5,,,2027-01-31,,Yes,1 + 1 YEAR,,,,,,,,,,,,,,,,,
ARTAZAN PROPERTY GROUP PTY LTD,APG - Artazan Property Group,Commercial,Yes,,117 Harrington Street,The Rocks,SY1A.16A,,268,Yes,Level 1,,,2028-11-30,2023-12-01,No,,1200,(a),321600,(a),1297.92,(a),347842.56,(a),2024-12-01,Initial,Fixed,,0.04,1248,(a),334464,(a)
ADARA ADVISORS PTY LTD,Adara Group,Commercial,Yes,,117 Harrington Street,The Rocks,SY1A.16A,,278,Yes,Level 2,,,2028-06-30,2021-07-01,No,,1050.76,(a),292110,(a),1188.37,(a),330362.53,(a),2022-07-01,Initial,Fixed,,0.0275,1079.66,(a),300143.03,(a)
MODUS PROPERTY GROUP PTY LTD,Modus Property,Commercial,Yes,,117 Harrington Street,The Rocks,SY1A.16A,Suite 302,69,Yes,Level 3,,,2027-04-30,2024-05-01,No,,1092.14,(a),76450,(a),1175.59,(a),82291.26,(a),2025-05-01,Initial,Fixed,,0.0375,1133.1,(a),79316.88,(a)
Acciona Geotech Group Services Pty Ltd,Acciona,Commercial,Yes,The Bushells Building,121 - 127 Harrington Street,The Rocks,SY1A.18,,,,Level 3,,,2029-09-30,2024-10-01,Yes,3 years.,,,1150016,(a),,,1193141.6,(a),2025-10-01,Initial,Fixed,,0.0375,,,1193141.6,(a)
Havas Australia Pty Ltd,Havas Village,Commercial,Yes,The Bushells Building,121 - 127 Harrington Street,The Rocks,SY1A.18,,,,Levels 4 to 6,,,2031-01-31,2026-02-01,Yes,3 years.,,,3522565.2,(a),,,3522565.2,(a),2027-02-01,Initial,Fixed,,0.0375,,,3654661.4,(a)
GSA Insurance Brokers Pty Ltd,General Security Australia,Commercial,Yes,Quadrant Building,156 Gloucester Street,The Rocks,SY1A.19B,at 137 Harrington Street,,,"Ground, Levels 1 & 2",,plus car spaces on levels P1 and P2,2027-08-25,2022-08-26,Yes,5 years.,,,420314.22,(a),,,459288.7,(a),2023-08-26,Initial,Fixed,,0.03,,,432923.65,(a)
NSW Architects Registration Board,NSW Architects Registration Board,Commercial,Yes,Quadrant Building,156 Gloucester Street,The Rocks,SY1A.19B,,,,Level 2,,,2028-07-31,2019-08-01,Yes,5 years.,,,132167.5,(a),,,154617.28,(a),2020-08-01,Initial,Fixed,,0.04,,,137454.2,(a)
The Australian Episcopal Conference of the Roman Catholic Church,National Catholic Education Commission,Commercial,Yes,Quadrant Building,156 Gloucester Street,The Rocks,SY1A.19B,,,,Level 3,,,2029-02-28,2024-03-01,Yes,5 years.,,,155767.08,(a),,,168477.67,(a),2025-03-01,Initial,Fixed,,0.04,,,161997.76,(a)
CrescoNet (Aus) Pty Ltd,CrescoNet,Commercial,Yes,Quadrant Building,156 Gloucester Street,The Rocks,SY1A.19B,,,,Level 4,,,2027-09-30,,No,,,,,,,,,,,,,,,,,,
Visionary Machines Pty Ltd,Visionary Machines,Commercial,Yes,Johnson's Building,225 George Street,The Rocks,SY1A.20,,266,Yes,Level 3,,,2027-02-28,2022-03-01,No,,1101.65,(a),293040,(a),1276.43,(a),339530.92,(a),2023-03-01,Initial,Fixed,,0.0375,1142.96,(a),304029,(a)
Snowy Hydro Ltd,Snowy Hydro,Commercial,Yes,Johnson's Building,225 George Street,The Rocks,SY1A.20,,1856,Yes,Level 5,,,2035-12-31,2026-04-01,Yes,3 years.,1565,(a),2904640,(a),1623.69,(a),3013564,(a),2026-04-01,Initial,Fixed,,0.0375,1623.69,(a),3013564,(a)
Toyota Finance Australia Ltd,Toyota Finance Australia,Commercial,Yes,Johnson's Building,225 George Street,The Rocks,SY1A.20,,3716,Yes,Levels 6 and 7,,,2030-06-30,2025-07-01,Yes,3 years.,1575,(a),5852700,(a),1575,(a),5852700,(a),2026-07-01,Initial,Fixed,,0.0375,1634.06,(a),6072176.25,(a)
Sonic Healthcare Ltd,Sonic Clinical Services,Commercial,Yes,Grosvenor Place,225 George Street,The Rocks,SY1A.20,Suite 802,607,Yes,Level 8,,,2028-09-30,2024-06-01,No,,1643.65,(a),999337.5,(a),1705.29,(a),1036812.66,(a),2025-06-01,Initial,Fixed,,0.0375,1705.29,(a),1036812.66,(a)
Wotton & Kearney Pty Ltd,Wotton Kearney,Commercial,Yes,Grosvenor Place,225 George Street,The Rocks,SY1A.20,,2714,Yes,Level 9,,,2035-01-31,2025-02-01,Yes,5 years.,1550.06,(a),4206855,(a),1668.5,(a),4528285.01,(a),2025-02-01,Initial,Fixed,,0.0375,1608.19,(a),4364612.06,(a)
Macpherson Kelley Services Pty Ltd,Macpherson Kelley,Commercial,Yes,Grosvenor Place,225 George Street,The Rocks,SY1A.20,,,,Level 11,,,2031-06-30,,Yes,3 years.,,,,,,,,,,,,,,,,,
Alinta Servco Pty Ltd,Alinta Energy,Commercial,Yes,Grosvenor Place,225 George Street,The Rocks,SY1A.20,,1906,Yes,Level 13,,,2032-06-30,2025-07-01,Yes,5 years.,1640,(a),3125840,(a),1640,(a),3125840,(a),2026-07-01,Initial,Fixed,,0.0375,1701.5,(a),3243059,(a)
The Executive Centre (Australia) Pty Ltd,The Executive Centre,Commercial,Yes,Grosvenor Place,225 George Street,The Rocks,SY1A.20,,1911,Yes,Level 15,,,2035-07-31,2025-08-01,Yes,5 years.,1675,(a),3200925,(a),1675,(a),3200925,(a),2026-08-01,Initial,Fixed,,0.0375,1737.81,(a),3320959.69,(a)
Qsuper Ltd,Australian Retirement Trust,Commercial,Yes,Grosvenor Place,225 George Street,The Rocks,SY1A.20,,1912,Yes,Level 16,,,2030-02-28,2023-03-01,Yes,4 years.,1495,(a),2858440,(a),1657.54,(a),3169203.52,(a),2024-03-01,Initial,Fixed,,0.035,1547.33,(a),2958485.4,(a)
Sonic Healthcare Ltd,Sonic Healthcare Australia Pathology,Commercial,Yes,Grosvenor Place,225 George Street,The Rocks,SY1A.20,Suite 1701,771,Yes,Level 17,,plus balcony,2028-09-30,2022-01-01,No,,1593.97,(a),1230542.5,(a),1846.85,(a),1425768.57,(a),2023-01-01,Initial,Fixed,,0.0375,1653.74,(a),1276687.84,(a)
Australian Payments Network Ltd,Australian Payments Network,Commercial,Yes,Grosvenor Place,225 George Street,The Rocks,SY1A.20,Suite 1702,640,Yes,Level 17,,,2028-06-30,2023-07-01,Yes,5 years.,1683.69,(a),1079242.5,(a),1823.92,(a),1167308.69,(a),2024-07-01,Initial,Fixed,,0.04,1753.77,(a),1122412.2,(a)
